CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),CPU Link
AArch64,833,4139,NA,NA,cpu_lookup.php?cpu=AArch64&id=5934
AArch64 rev 2 (aarch64),"2,409",2919,NA,NA,cpu_lookup.php?cpu=AArch64+rev+2+%28aarch64%29&id=4017
AArch64 rev 4 (aarch64),"1,813",3291,NA,NA,cpu_lookup.php?cpu=AArch64+rev+4+%28aarch64%29&id=3916
AC8257V/WAB,788,4190,NA,NA,cpu_lookup.php?cpu=AC8257V%2FWAB&id=3980
AC8259V/WAB,910,4047,NA,NA,cpu_lookup.php?cpu=AC8259V%2FWAB&id=5947
Allwinner A133,668,4339,NA,NA,cpu_lookup.php?cpu=Allwinner+A133&id=5410
Allwinner A523,"1,928",3207,NA,NA,cpu_lookup.php?cpu=Allwinner+A523&id=5651
Allwinner A527,"2,297",2980,NA,NA,cpu_lookup.php?cpu=Allwinner+A527&id=5591
Allwinner A733,"3,392",2444,NA,NA,cpu_lookup.php?cpu=Allwinner+A733&id=6545
Allwinner H618,623,4393,NA,NA,cpu_lookup.php?cpu=Allwinner+H618&id=5549
Allwinner h728,"1,940",3201,NA,NA,cpu_lookup.php?cpu=Allwinner+h728&id=6316
AMD 3015Ce,"2,099",3102,NA,NA,cpu_lookup.php?cpu=AMD+3015Ce&id=4455
AMD 3015e,"2,652",2775,NA,NA,cpu_lookup.php?cpu=AMD+3015e&id=3774
AMD 3020e,"2,414",2913,NA,NA,cpu_lookup.php?cpu=AMD+3020e&id=3758
AMD 4700S,"17,734",857,NA,NA,cpu_lookup.php?cpu=AMD+4700S&id=4309
AMD A10 Micro-6700T APU,"1,426",3564,NA,NA,cpu_lookup.php?cpu=AMD+A10+Micro-6700T+APU&id=2520
AMD A10 PRO-7350B APU,"1,867",3251,NA,NA,cpu_lookup.php?cpu=AMD+A10+PRO-7350B+APU&id=2271
AMD A10 PRO-7800B APU,"3,311",2482,NA,NA,cpu_lookup.php?cpu=AMD+A10+PRO-7800B+APU&id=2407
AMD A10 PRO-7850B APU,"3,441",2419,23.25,$148.02*,cpu_lookup.php?cpu=AMD+A10+PRO-7850B+APU&id=2416
AMD A10-4600M APU,"1,939",3202,26.92,$72.02*,cpu_lookup.php?cpu=AMD+A10-4600M+APU&id=10
AMD A10-4655M APU,"1,651",3401,NA,NA,cpu_lookup.php?cpu=AMD+A10-4655M+APU&id=11
AMD A10-4657M APU,"1,759",3334,NA,NA,cpu_lookup.php?cpu=AMD+A10-4657M+APU&id=1906
AMD A10-5700 APU,"2,737",2730,40.23,$68.02,cpu_lookup.php?cpu=AMD+A10-5700+APU&id=12
AMD A10-5745M APU,"1,779",3323,NA,NA,cpu_lookup.php?cpu=AMD+A10-5745M+APU&id=1962
AMD A10-5750M APU,"2,044",3134,26.20,$78.02,cpu_lookup.php?cpu=AMD+A10-5750M+APU&id=1920
AMD A10-5757M APU,"1,996",3171,NA,NA,cpu_lookup.php?cpu=AMD+A10-5757M+APU&id=1992
AMD A10-5800B APU,"3,049",2595,67.77,$44.99*,cpu_lookup.php?cpu=AMD+A10-5800B+APU&id=1990
AMD A10-5800K APU,"2,954",2640,37.87,$78.02*,cpu_lookup.php?cpu=AMD+A10-5800K+APU&id=1446
AMD A10-6700 APU,"3,113",2569,31.76,$98.02*,cpu_lookup.php?cpu=AMD+A10-6700+APU&id=1936
AMD A10-6700T APU,"2,299",2978,26.12,$88.02*,cpu_lookup.php?cpu=AMD+A10-6700T+APU&id=2254
AMD A10-6790K APU,"3,108",2574,74.01,$42.00*,cpu_lookup.php?cpu=AMD+A10-6790K+APU&id=2117
AMD A10-6800B APU,"3,155",2551,24.64,$128.02*,cpu_lookup.php?cpu=AMD+A10-6800B+APU&id=2155
AMD A10-6800K APU,"3,187",2540,29.50,$108.02,cpu_lookup.php?cpu=AMD+A10-6800K+APU&id=1935
AMD A10-7300 APU,"1,745",3339,NA,NA,cpu_lookup.php?cpu=AMD+A10-7300+APU&id=2287
AMD A10-7400P,"2,100",3101,NA,NA,cpu_lookup.php?cpu=AMD+A10-7400P&id=2451
AMD A10-7700K APU,"3,204",2534,25.03,$128.02,cpu_lookup.php?cpu=AMD+A10-7700K+APU&id=2146
AMD A10-7800 APU,"3,212",2532,107.12,$29.99*,cpu_lookup.php?cpu=AMD+A10-7800+APU&id=2262
AMD A10-7850K APU,"3,395",2443,25.15,$134.99,cpu_lookup.php?cpu=AMD+A10-7850K+APU&id=2133
AMD A10-7860K,"3,279",2499,62.01,$52.87*,cpu_lookup.php?cpu=AMD+A10-7860K&id=2722
AMD A10-7870K,"3,494",2405,6.76,$517.20*,cpu_lookup.php?cpu=AMD+A10-7870K&id=2531
AMD A10-7890K,"3,558",2385,26.13,$136.17*,cpu_lookup.php?cpu=AMD+A10-7890K&id=2744
AMD A10-8700P,"2,252",3012,NA,NA,cpu_lookup.php?cpu=AMD+A10-8700P&id=2542
AMD A10-8750,"3,231",2523,NA,NA,cpu_lookup.php?cpu=AMD+A10-8750&id=2603
AMD A10-8850,"3,438",2420,NA,NA,cpu_lookup.php?cpu=AMD+A10-8850&id=2776
AMD A10-9600P,"2,349",2952,NA,NA,cpu_lookup.php?cpu=AMD+A10-9600P&id=2793
AMD A10-9620P,"2,521",2854,NA,NA,cpu_lookup.php?cpu=AMD+A10-9620P&id=3060
AMD A10-9630P,"2,946",2644,NA,NA,cpu_lookup.php?cpu=AMD+A10-9630P&id=2857
AMD A10-9700,"3,558",2384,118.63,$29.99*,cpu_lookup.php?cpu=AMD+A10-9700&id=2900
AMD A10-9700E,"3,235",2518,25.27,$128.02,cpu_lookup.php?cpu=AMD+A10-9700E&id=3133
AMD A12-9700P,"2,424",2907,NA,NA,cpu_lookup.php?cpu=AMD+A12-9700P&id=2848
AMD A12-9720P,"2,639",2781,NA,NA,cpu_lookup.php?cpu=AMD+A12-9720P&id=3043
AMD A12-9730P,"3,027",2601,NA,NA,cpu_lookup.php?cpu=AMD+A12-9730P&id=3040
AMD A12-9800,"3,672",2353,66.77,$55.00*,cpu_lookup.php?cpu=AMD+A12-9800&id=2861
AMD A12-9800E,"3,471",2412,25.15,$138.02*,cpu_lookup.php?cpu=AMD+A12-9800E&id=3083
AMD A4 Micro-6400T APU,"1,082",3872,NA,NA,cpu_lookup.php?cpu=AMD+A4+Micro-6400T+APU&id=2413
AMD A4 PRO-3340B,"1,709",3357,NA,NA,cpu_lookup.php?cpu=AMD+A4+PRO-3340B&id=2653
AMD A4 PRO-7300B APU,"1,458",3537,NA,NA,cpu_lookup.php?cpu=AMD+A4+PRO-7300B+APU&id=2439
AMD A4 PRO-7350B,"1,544",3483,NA,NA,cpu_lookup.php?cpu=AMD+A4+PRO-7350B&id=2450
AMD A4-1200 APU,375,4673,NA,NA,cpu_lookup.php?cpu=AMD+A4-1200+APU&id=2049
AMD A4-1250 APU,418,4613,NA,NA,cpu_lookup.php?cpu=AMD+A4-1250+APU&id=1970
AMD A4-1350 APU,911,4045,NA,NA,cpu_lookup.php?cpu=AMD+A4-1350+APU&id=6007
AMD A4-3300 APU,957,3998,16.91,$56.61,cpu_lookup.php?cpu=AMD+A4-3300+APU&id=13
AMD A4-3300M APU,714,4281,23.81,$29.99*,cpu_lookup.php?cpu=AMD+A4-3300M+APU&id=14
AMD A4-3305M APU,755,4230,36.28,$20.81*,cpu_lookup.php?cpu=AMD+A4-3305M+APU&id=15
AMD A4-3310MX APU,782,4199,NA,NA,cpu_lookup.php?cpu=AMD+A4-3310MX+APU&id=16
AMD A4-3320M APU,668,4341,17.12,$39.00*,cpu_lookup.php?cpu=AMD+A4-3320M+APU&id=17
AMD A4-3330MX APU,756,4229,NA,NA,cpu_lookup.php?cpu=AMD+A4-3330MX+APU&id=1871
AMD A4-3400 APU,"1,089",3861,13.63,$79.95,cpu_lookup.php?cpu=AMD+A4-3400+APU&id=18
AMD A4-3420 APU,"1,067",3894,7.84,$136.00*,cpu_lookup.php?cpu=AMD+A4-3420+APU&id=19
AMD A4-4000 APU,"1,152",3803,57.73,$19.95*,cpu_lookup.php?cpu=AMD+A4-4000+APU&id=1913
AMD A4-4020 APU,"1,269",3681,12.05,$105.37*,cpu_lookup.php?cpu=AMD+A4-4020+APU&id=2305
AMD A4-4300M APU,991,3969,33.19,$29.86*,cpu_lookup.php?cpu=AMD+A4-4300M+APU&id=1813
AMD A4-4355M APU,806,4167,NA,NA,cpu_lookup.php?cpu=AMD+A4-4355M+APU&id=1820
AMD A4-5000 APU,"1,285",3665,NA,NA,cpu_lookup.php?cpu=AMD+A4-5000+APU&id=2005
AMD A4-5050 APU,"1,328",3631,NA,NA,cpu_lookup.php?cpu=AMD+A4-5050+APU&id=3009
AMD A4-5100 APU,"1,260",3690,NA,NA,cpu_lookup.php?cpu=AMD+A4-5100+APU&id=2547
AMD A4-5150M APU,957,3999,NA,NA,cpu_lookup.php?cpu=AMD+A4-5150M+APU&id=1974
AMD A4-5300 APU,"1,365",3607,50.65,$26.95*,cpu_lookup.php?cpu=AMD+A4-5300+APU&id=1447
AMD A4-5300B APU,"1,254",3696,48.33,$25.95*,cpu_lookup.php?cpu=AMD+A4-5300B+APU&id=1810
AMD A4-6210 APU,"1,502",3515,NA,NA,cpu_lookup.php?cpu=AMD+A4-6210+APU&id=2307
AMD A4-6250J APU,"1,671",3385,NA,NA,cpu_lookup.php?cpu=AMD+A4-6250J+APU&id=2454
AMD A4-6300 APU,"1,422",3571,33.84,$42.02,cpu_lookup.php?cpu=AMD+A4-6300+APU&id=2083
AMD A4-6300B APU,"1,328",3632,47.51,$27.95*,cpu_lookup.php?cpu=AMD+A4-6300B+APU&id=2112
AMD A4-6320 APU,"1,530",3493,21.86,$69.99*,cpu_lookup.php?cpu=AMD+A4-6320+APU&id=2212
AMD A4-7210 APU,"1,660",3395,NA,NA,cpu_lookup.php?cpu=AMD+A4-7210+APU&id=2549
AMD A4-7300 APU,"1,534",3489,83.05,$18.47*,cpu_lookup.php?cpu=AMD+A4-7300+APU&id=2357
AMD A4-9120,"1,218",3728,NA,NA,cpu_lookup.php?cpu=AMD+A4-9120&id=3093
AMD A4-9120C,864,4101,NA,NA,cpu_lookup.php?cpu=AMD+A4-9120C&id=3531
AMD A4-9120e,849,4121,NA,NA,cpu_lookup.php?cpu=AMD+A4-9120e&id=3464
AMD A4-9125,"1,210",3737,NA,NA,cpu_lookup.php?cpu=AMD+A4-9125&id=3362
AMD A6 Micro-6500T APU,"1,146",3810,NA,NA,cpu_lookup.php?cpu=AMD+A6+Micro-6500T+APU&id=2698
AMD A6 PRO-7050B APU,"1,010",3952,NA,NA,cpu_lookup.php?cpu=AMD+A6+PRO-7050B+APU&id=2353
AMD A6 PRO-7400B,"1,640",3406,NA,NA,cpu_lookup.php?cpu=AMD+A6+PRO-7400B&id=2436
AMD A6-1450 APU,"1,072",3884,NA,NA,cpu_lookup.php?cpu=AMD+A6-1450+APU&id=1908
AMD A6-3400M APU,"1,218",3730,49.81,$24.45*,cpu_lookup.php?cpu=AMD+A6-3400M+APU&id=20
AMD A6-3410MX APU,"1,270",3680,318.39,$3.99*,cpu_lookup.php?cpu=AMD+A6-3410MX+APU&id=21
AMD A6-3420M APU,"1,299",3654,NA,NA,cpu_lookup.php?cpu=AMD+A6-3420M+APU&id=22
AMD A6-3430MX APU,"1,389",3591,NA,NA,cpu_lookup.php?cpu=AMD+A6-3430MX+APU&id=23
AMD A6-3500 APU,"1,438",3551,23.88,$60.23,cpu_lookup.php?cpu=AMD+A6-3500+APU&id=24
AMD A6-3600 APU,"1,697",3367,68.02,$24.95*,cpu_lookup.php?cpu=AMD+A6-3600+APU&id=25
AMD A6-3620 APU,"1,869",3249,83.09,$22.49*,cpu_lookup.php?cpu=AMD+A6-3620+APU&id=26
AMD A6-3650 APU,"2,086",3110,16.29,$128.00*,cpu_lookup.php?cpu=AMD+A6-3650+APU&id=27
AMD A6-3670 APU,"2,181",3060,39.68,$54.95*,cpu_lookup.php?cpu=AMD+A6-3670+APU&id=28
AMD A6-4400M APU,998,3960,39.99,$24.95,cpu_lookup.php?cpu=AMD+A6-4400M+APU&id=29
AMD A6-4455M APU,792,4186,NA,NA,cpu_lookup.php?cpu=AMD+A6-4455M+APU&id=30
AMD A6-5200 APU,"1,667",3390,NA,NA,cpu_lookup.php?cpu=AMD+A6-5200+APU&id=1975
AMD A6-5345M APU,"1,122",3828,NA,NA,cpu_lookup.php?cpu=AMD+A6-5345M+APU&id=2198
AMD A6-5350M APU,"1,205",3744,36.40,$33.12*,cpu_lookup.php?cpu=AMD+A6-5350M+APU&id=1987
AMD A6-5357M APU,"1,165",3786,NA,NA,cpu_lookup.php?cpu=AMD+A6-5357M+APU&id=2048
AMD A6-5400B APU,"1,459",3535,50.43,$28.94*,cpu_lookup.php?cpu=AMD+A6-5400B+APU&id=2085
AMD A6-5400K APU,"1,276",3676,26.01,$49.04*,cpu_lookup.php?cpu=AMD+A6-5400K+APU&id=1494
AMD A6-6310 APU,"1,677",3380,NA,NA,cpu_lookup.php?cpu=AMD+A6-6310+APU&id=2290
AMD A6-6400B APU,"1,616",3423,NA,NA,cpu_lookup.php?cpu=AMD+A6-6400B+APU&id=2157
AMD A6-6400K APU,"1,509",3511,20.12,$75.00*,cpu_lookup.php?cpu=AMD+A6-6400K+APU&id=1960
AMD A6-6420B APU,"1,550",3475,NA,NA,cpu_lookup.php?cpu=AMD+A6-6420B+APU&id=2433
AMD A6-6420K APU,"1,565",3462,10.43,$149.99*,cpu_lookup.php?cpu=AMD+A6-6420K+APU&id=2372
AMD A6-7000,"1,010",3951,NA,NA,cpu_lookup.php?cpu=AMD+A6-7000+&id=2488
AMD A6-7310 APU,"1,726",3350,NA,NA,cpu_lookup.php?cpu=AMD+A6-7310+APU&id=2535
AMD A6-7400K APU,"1,642",3405,19.27,$85.23*,cpu_lookup.php?cpu=AMD+A6-7400K+APU&id=2392
AMD A6-7470K,"1,799",3303,20.22,$89.00*,cpu_lookup.php?cpu=AMD+A6-7470K&id=2771
AMD A6-7480,"1,812",3292,52.05,$34.82*,cpu_lookup.php?cpu=AMD+A6-7480&id=3436
AMD A6-8500P,"1,445",3547,NA,NA,cpu_lookup.php?cpu=AMD+A6-8500P&id=2781
AMD A6-8550,"1,762",3332,NA,NA,cpu_lookup.php?cpu=AMD+A6-8550&id=2657
AMD A6-9200,"1,149",3808,NA,NA,cpu_lookup.php?cpu=AMD+A6-9200&id=3221
AMD A6-9210,"1,246",3703,NA,NA,cpu_lookup.php?cpu=AMD+A6-9210&id=2825
AMD A6-9220,"1,283",3667,NA,NA,cpu_lookup.php?cpu=AMD+A6-9220&id=3072
AMD A6-9220C,"1,053",3905,NA,NA,cpu_lookup.php?cpu=AMD+A6-9220C&id=3455
AMD A6-9220e,966,3991,NA,NA,cpu_lookup.php?cpu=AMD+A6-9220e&id=3198
AMD A6-9225,"1,337",3625,NA,NA,cpu_lookup.php?cpu=AMD+A6-9225&id=3315
AMD A6-9230,"1,303",3652,NA,NA,cpu_lookup.php?cpu=AMD+A6-9230&id=3063
AMD A6-9400,"2,717",2741,NA,NA,cpu_lookup.php?cpu=AMD+A6-9400&id=3609
AMD A6-9500,"1,879",3246,37.57,$50.00*,cpu_lookup.php?cpu=AMD+A6-9500&id=2903
AMD A6-9500E,"1,725",3352,30.08,$57.36*,cpu_lookup.php?cpu=AMD+A6-9500E&id=3330
AMD A8 PRO-7150B APU,"1,528",3495,NA,NA,cpu_lookup.php?cpu=AMD+A8+PRO-7150B+APU&id=2289
AMD A8 PRO-7600B APU,"2,976",2632,NA,NA,cpu_lookup.php?cpu=AMD+A8+PRO-7600B+APU&id=2352
AMD A8-3500M APU,"1,397",3587,23.30,$59.95*,cpu_lookup.php?cpu=AMD+A8-3500M+APU&id=31
AMD A8-3510MX APU,"1,631",3411,21.15,$77.11*,cpu_lookup.php?cpu=AMD+A8-3510MX+APU&id=32
AMD A8-3520M APU,"1,452",3541,26.40,$55.00*,cpu_lookup.php?cpu=AMD+A8-3520M+APU&id=33
AMD A8-3530MX APU,"1,608",3427,NA,NA,cpu_lookup.php?cpu=AMD+A8-3530MX+APU&id=34
AMD A8-3550MX APU,"1,687",3376,NA,NA,cpu_lookup.php?cpu=AMD+A8-3550MX+APU&id=35
AMD A8-3800 APU,"2,041",3135,51.04,$40.00*,cpu_lookup.php?cpu=AMD+A8-3800+APU&id=36
AMD A8-3820 APU,"2,185",3054,48.60,$44.95*,cpu_lookup.php?cpu=AMD+A8-3820+APU&id=37
AMD A8-3850 APU,"2,397",2922,31.96,$75.00*,cpu_lookup.php?cpu=AMD+A8-3850+APU&id=38
AMD A8-3870K APU,"2,340",2961,34.40,$68.04*,cpu_lookup.php?cpu=AMD+A8-3870K+APU&id=39
AMD A8-4500M APU,"1,693",3371,35.25,$48.02,cpu_lookup.php?cpu=AMD+A8-4500M+APU&id=40
AMD A8-4555M APU,"1,344",3623,NA,NA,cpu_lookup.php?cpu=AMD+A8-4555M+APU&id=1448
AMD A8-5500 APU,"2,610",2800,44.28,$58.95*,cpu_lookup.php?cpu=AMD+A8-5500+APU&id=41
AMD A8-5500B APU,"2,584",2808,52.70,$49.04*,cpu_lookup.php?cpu=AMD+A8-5500B+APU&id=1868
AMD A8-5545M APU,"1,625",3416,NA,NA,cpu_lookup.php?cpu=AMD+A8-5545M+APU&id=1971
AMD A8-5550M APU,"1,819",3287,NA,NA,cpu_lookup.php?cpu=AMD+A8-5550M+APU&id=1976
AMD A8-5557M APU,"1,801",3302,NA,NA,cpu_lookup.php?cpu=AMD+A8-5557M+APU&id=1986
AMD A8-5600K APU,"2,860",2683,41.44,$69.01,cpu_lookup.php?cpu=AMD+A8-5600K+APU&id=1449
AMD A8-6410 APU,"1,771",3326,NA,NA,cpu_lookup.php?cpu=AMD+A8-6410+APU&id=2266
AMD A8-6500 APU,"2,828",2696,101.74,$27.80*,cpu_lookup.php?cpu=AMD+A8-6500+APU&id=1998
AMD A8-6500B APU,"2,879",2675,57.64,$49.95*,cpu_lookup.php?cpu=AMD+A8-6500B+APU&id=2210
AMD A8-6500T APU,"1,983",3176,33.07,$59.95*,cpu_lookup.php?cpu=AMD+A8-6500T+APU&id=2179
AMD A8-6600K APU,"2,993",2622,34.00,$88.02,cpu_lookup.php?cpu=AMD+A8-6600K+APU&id=1946
AMD A8-7050,"1,086",3865,NA,NA,cpu_lookup.php?cpu=AMD+A8-7050&id=2688
AMD A8-7100 APU,"1,638",3407,NA,NA,cpu_lookup.php?cpu=AMD+A8-7100+APU&id=2318
AMD A8-7200P,"2,158",3073,NA,NA,cpu_lookup.php?cpu=AMD+A8-7200P&id=2550
AMD A8-7410 APU,"1,823",3283,NA,NA,cpu_lookup.php?cpu=AMD+A8-7410+APU&id=2537
AMD A8-7500,"3,411",2434,NA,NA,cpu_lookup.php?cpu=AMD+A8-7500&id=2817
AMD A8-7600 APU,"3,211",2533,13.11,$244.96*,cpu_lookup.php?cpu=AMD+A8-7600+APU&id=2311
AMD A8-7650K,"3,117",2567,82.05,$37.99*,cpu_lookup.php?cpu=AMD+A8-7650K&id=2489
AMD A8-7670K,"3,213",2531,14.54,$220.98*,cpu_lookup.php?cpu=AMD+A8-7670K&id=2595
AMD A8-7680,"3,593",2378,97.82,$36.73*,cpu_lookup.php?cpu=AMD+A8-7680&id=3384
AMD A8-7690K,"2,157",3074,NA,NA,cpu_lookup.php?cpu=AMD+A8-7690K&id=5490
AMD A8-8600P,"2,464",2875,NA,NA,cpu_lookup.php?cpu=AMD+A8-8600P&id=2580
AMD A8-8650,"2,996",2620,NA,NA,cpu_lookup.php?cpu=AMD+A8-8650&id=2649
AMD A8-9600,"3,307",2483,29.40,$112.49*,cpu_lookup.php?cpu=AMD+A8-9600&id=3004
AMD A9-9400,"1,332",3628,NA,NA,cpu_lookup.php?cpu=AMD+A9-9400&id=2901
AMD A9-9410,"1,548",3477,NA,NA,cpu_lookup.php?cpu=AMD+A9-9410&id=2841
AMD A9-9420,"1,516",3508,NA,NA,cpu_lookup.php?cpu=AMD+A9-9420&id=3059
AMD A9-9420e,"1,108",3840,NA,NA,cpu_lookup.php?cpu=AMD+A9-9420e&id=3226
AMD A9-9425,"1,528",3496,NA,NA,cpu_lookup.php?cpu=AMD+A9-9425&id=3278
AMD A9-9430,"1,699",3364,NA,NA,cpu_lookup.php?cpu=AMD+A9-9430&id=3143
AMD A9-9820,"3,938",2268,NA,NA,cpu_lookup.php?cpu=AMD+A9-9820&id=4265
AMD Athlon 1500+,191,4940,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+1500%2B&id=1496
AMD Athlon 1640B,412,4622,8.23,$50.00*,cpu_lookup.php?cpu=AMD+Athlon+1640B&id=183
AMD Athlon 200GE,"4,099",2227,33.09,$123.89*,cpu_lookup.php?cpu=AMD+Athlon+200GE&id=3325
AMD Athlon 220GE,"4,429",2142,36.28,$122.10*,cpu_lookup.php?cpu=AMD+Athlon+220GE&id=3416
AMD Athlon 240GE,"4,539",2119,46.19,$98.27*,cpu_lookup.php?cpu=AMD+Athlon+240GE&id=3394
AMD Athlon 2650e,274,4813,14.43,$19.00*,cpu_lookup.php?cpu=AMD+Athlon+2650e&id=184
AMD Athlon 2800+,291,4788,2.65,$109.95*,cpu_lookup.php?cpu=AMD+Athlon+2800%2B&id=53
AMD Athlon 2850e,333,4728,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+2850e&id=185
AMD Athlon 3000G,"4,453",2136,68.22,$65.27*,cpu_lookup.php?cpu=AMD+Athlon+3000G&id=3614
AMD Athlon 300GE,"4,299",2175,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+300GE&id=3629
AMD Athlon 300U,"3,872",2290,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+300U&id=3503
AMD Athlon 320GE,"4,399",2151,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+320GE&id=4521
AMD Athlon 5000 Dual-Core,872,4091,10.91,$79.95,cpu_lookup.php?cpu=AMD+Athlon+5000+Dual-Core&id=55
AMD Athlon 5150 APU,"1,404",3582,11.66,$120.45*,cpu_lookup.php?cpu=AMD+Athlon+5150+APU&id=2208
AMD Athlon 5200 Dual-Core,869,4094,16.40,$53.02,cpu_lookup.php?cpu=AMD+Athlon+5200+Dual-Core&id=56
AMD Athlon 5350 APU,"1,802",3300,12.19,$147.83*,cpu_lookup.php?cpu=AMD+Athlon+5350+APU&id=2195
AMD Athlon 5370 APU,"1,927",3208,3.22,$598.68*,cpu_lookup.php?cpu=AMD+Athlon+5370+APU&id=2763
AMD Athlon 64 2000+,154,4991,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+2000%2B&id=2096
AMD Athlon 64 2600+,243,4853,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+2600%2B&id=2097
AMD Athlon 64 2800+,295,4781,2.95,$99.99*,cpu_lookup.php?cpu=AMD+Athlon+64+2800%2B&id=65
AMD Athlon 64 3000+,334,4726,16.68,$20.00*,cpu_lookup.php?cpu=AMD+Athlon+64+3000%2B&id=66
AMD Athlon 64 3100+,484,4549,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+3100%2B&id=2481
AMD Athlon 64 3200+,305,4769,2.03,$149.95*,cpu_lookup.php?cpu=AMD+Athlon+64+3200%2B&id=67
AMD Athlon 64 3300+,375,4674,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+3300%2B&id=68
AMD Athlon 64 3400+,317,4747,3.17,$99.95*,cpu_lookup.php?cpu=AMD+Athlon+64+3400%2B&id=69
AMD Athlon 64 3500+,377,4672,4.71,$79.95*,cpu_lookup.php?cpu=AMD+Athlon+64+3500%2B&id=70
AMD Athlon 64 3700+,394,4647,4.38,$89.95*,cpu_lookup.php?cpu=AMD+Athlon+64+3700%2B&id=71
AMD Athlon 64 3800+,292,4784,2.23,$131.01*,cpu_lookup.php?cpu=AMD+Athlon+64+3800%2B&id=72
AMD Athlon 64 4000+,340,4708,3.40,$99.95*,cpu_lookup.php?cpu=AMD+Athlon+64+4000%2B&id=73
AMD Athlon 64 FX-55,404,4633,6.22,$65.00*,cpu_lookup.php?cpu=AMD+Athlon+64+FX-55&id=59
AMD Athlon 64 FX-57,517,4515,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+FX-57&id=60
AMD Athlon 64 FX-59,465,4569,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+FX-59&id=1902
AMD Athlon 64 FX-60 Dual Core,709,4289,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+FX-60+Dual+Core&id=61
AMD Athlon 64 FX-62 Dual Core,993,3965,3.97,$250.00*,cpu_lookup.php?cpu=AMD+Athlon+64+FX-62+Dual+Core&id=62
AMD Athlon 64 FX-74,972,3986,1.95,$499.50*,cpu_lookup.php?cpu=AMD+Athlon+64+FX-74&id=64
AMD Athlon 64 X2 Dual Core 3400+,531,4502,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+3400%2B&id=75
AMD Athlon 64 X2 Dual Core 3600+,633,4383,9.27,$68.25*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+3600%2B&id=76
AMD Athlon 64 X2 Dual Core 3800+,629,4387,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+3800%2B&id=77
AMD Athlon 64 X2 Dual Core 4000+,692,4309,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+4000%2B&id=78
AMD Athlon 64 X2 Dual Core 4200+,729,4265,6.63,$109.95*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+4200%2B&id=79
AMD Athlon 64 X2 Dual Core 4400+,671,4336,2.25,$298.95*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+4400%2B&id=80
AMD Athlon 64 X2 Dual Core 4600+,720,4275,2.06,$349.95*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+4600%2B&id=81
AMD Athlon 64 X2 Dual Core 4800+,719,4276,4.80,$149.95*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+4800%2B&id=82
AMD Athlon 64 X2 Dual Core 5000+,800,4174,2.41,$331.49*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+5000%2B&id=83
AMD Athlon 64 X2 Dual Core 5200+,850,4118,14.16,$60.00*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+5200%2B&id=84
AMD Athlon 64 X2 Dual Core 5400+,907,4053,17.11,$52.99*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+5400%2B&id=85
AMD Athlon 64 X2 Dual Core 5600+,909,4050,8.48,$107.21*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+5600%2B&id=86
AMD Athlon 64 X2 Dual Core 5800+,653,4363,21.81,$29.95*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+5800%2B&id=87
AMD Athlon 64 X2 Dual Core 6000+,936,4021,24.31,$38.50*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+6000%2B&id=88
AMD Athlon 64 X2 Dual Core 6400+,982,3980,3.93,$249.95*,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+6400%2B&id=89
AMD Athlon 64 X2 Dual Core BE-2300,594,4422,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+BE-2300&id=90
AMD Athlon 64 X2 Dual Core BE-2350,573,4447,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual+Core+BE-2350&id=91
AMD Athlon 64 X2 Dual-Core TK-42,577,4444,NA,NA,cpu_lookup.php?cpu=AMD+Athlon+64+X2+Dual-Core+TK-42&id=93
