CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),CPU Link
"Qualcomm Technologies, Inc QCM2150",409,4626,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+QCM2150&id=4086
"Qualcomm Technologies, Inc QCM6125","2,775",2713,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+QCM6125&id=5161
"Qualcomm Technologies, Inc QCS610","1,949",3195,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+QCS610&id=5274
"Qualcomm Technologies, Inc QM215",461,4574,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+QM215&id=4122
"Qualcomm Technologies, Inc SA8195P","6,554",1712,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SA8195P&id=4852
"Qualcomm Technologies, Inc SCUBAIIOT",926,4031,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SCUBAIIOT&id=5308
"Qualcomm Technologies, Inc SCUBAPIIOT","1,123",3826,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SCUBAPIIOT&id=5007
"Qualcomm Technologies, Inc SDA429W",715,4280,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDA429W&id=5325
"Qualcomm Technologies, Inc SDA450","1,518",3506,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDA450&id=4171
"Qualcomm Technologies, Inc SDA660","2,853",2686,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDA660&id=4051
"Qualcomm Technologies, Inc SDM429","1,025",3934,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM429&id=3989
"Qualcomm Technologies, Inc SDM439","1,495",3519,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM439&id=4044
"Qualcomm Technologies, Inc SDM450","1,351",3619,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM450&id=3978
"Qualcomm Technologies, Inc SDM460","2,041",3136,NA,NA,cpu_lookup.php?cpu=Qualcomm+Technologies%2C+Inc+SDM460&id=4057
