Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD),GPU Link
GeForce MX230,1830,904,NA,NA,video_lookup.php?gpu=GeForce+MX230&id=4036
GeForce MX250,2392,735,NA,NA,video_lookup.php?gpu=GeForce+MX250&id=4076
GeForce MX330,2407,729,NA,NA,video_lookup.php?gpu=GeForce+MX330&id=4203
GeForce MX350,2810,662,NA,NA,video_lookup.php?gpu=GeForce+MX350&id=4194
GeForce MX450,3752,552,NA,NA,video_lookup.php?gpu=GeForce+MX450&id=4296
GeForce MX550,4512,492,NA,NA,video_lookup.php?gpu=GeForce+MX550&id=4493
GeForce MX570,5806,382,NA,NA,video_lookup.php?gpu=GeForce+MX570&id=4560
GeForce MX570 A,6153,363,NA,NA,video_lookup.php?gpu=GeForce+MX570+A&id=4595
GeForce PCX 5300,6,2548,NA,NA,video_lookup.php?gpu=GeForce+PCX+5300&id=1463
GeForce PCX 5750,34,2425,NA,NA,video_lookup.php?gpu=GeForce+PCX+5750&id=1464
GeForce PCX 5900,34,2431,NA,NA,video_lookup.php?gpu=GeForce+PCX+5900&id=1465
GeForce RTX 2050,7774,302,NA,NA,video_lookup.php?gpu=GeForce+RTX+2050&id=4501
GeForce RTX 2060,14122,142,36.48,$387.19,video_lookup.php?gpu=GeForce+RTX+2060&id=4037
GeForce RTX 2060 (Mobile),11352,211,NA,NA,video_lookup.php?gpu=GeForce+RTX+2060+%28Mobile%29&id=4085
GeForce RTX 2060 12GB,15947,110,NA,NA,video_lookup.php?gpu=GeForce+RTX+2060+12GB&id=4602
GeForce RTX 2060 SUPER,16478,101,41.20,$399.99*,video_lookup.php?gpu=GeForce+RTX+2060+SUPER&id=4117
GeForce RTX 2060 with Max-Q Design,9729,241,NA,NA,video_lookup.php?gpu=GeForce+RTX+2060+with+Max-Q+Design&id=4199
GeForce RTX 2070,16119,107,41.39,$389.46*,video_lookup.php?gpu=GeForce+RTX+2070&id=4001
GeForce RTX 2070 (Mobile),12357,182,NA,NA,video_lookup.php?gpu=GeForce+RTX+2070+%28Mobile%29&id=4083
GeForce RTX 2070 SUPER,18194,83,33.69,$539.99*,video_lookup.php?gpu=GeForce+RTX+2070+SUPER&id=4116
GeForce RTX 2070 Super with Max-Q Design,13622,152,NA,NA,video_lookup.php?gpu=GeForce+RTX+2070+Super+with+Max-Q+Design&id=4204
GeForce RTX 2070 with Max-Q Design,11546,206,NA,NA,video_lookup.php?gpu=GeForce+RTX+2070+with+Max-Q+Design&id=4048
GeForce RTX 2080,18748,80,23.42,$800.61*,video_lookup.php?gpu=GeForce+RTX+2080&id=3989
GeForce RTX 2080 (Mobile),15013,132,NA,NA,video_lookup.php?gpu=GeForce+RTX+2080+%28Mobile%29&id=4084
GeForce RTX 2080 SUPER,19514,75,28.49,$684.86*,video_lookup.php?gpu=GeForce+RTX+2080+SUPER&id=4123
GeForce RTX 2080 Super with Max-Q Design,13623,151,NA,NA,video_lookup.php?gpu=GeForce+RTX+2080+Super+with+Max-Q+Design&id=4202
GeForce RTX 2080 Ti,21609,58,16.69,"$1,295.00",video_lookup.php?gpu=GeForce+RTX+2080+Ti&id=3991
GeForce RTX 2080 with Max-Q Design,12965,170,6.17,"$2,099.99*",video_lookup.php?gpu=GeForce+RTX+2080+with+Max-Q+Design&id=4041
GeForce RTX 3050 4GB Laptop GPU,6859,334,NA,NA,video_lookup.php?gpu=GeForce+RTX+3050+4GB+Laptop+GPU&id=4769
GeForce RTX 3050 6GB,10712,221,56.38,$189.99,video_lookup.php?gpu=GeForce+RTX+3050+6GB&id=5069
GeForce RTX 3050 6GB Laptop GPU,10280,227,NA,NA,video_lookup.php?gpu=GeForce+RTX+3050+6GB+Laptop+GPU&id=4782
GeForce RTX 3050 8GB,12608,178,52.98,$237.99,video_lookup.php?gpu=GeForce+RTX+3050+8GB&id=4495
GeForce RTX 3050 A Laptop GPU,11820,198,NA,NA,video_lookup.php?gpu=GeForce+RTX+3050+A+Laptop+GPU&id=5172
GeForce RTX 3050 Laptop GPU,9501,247,35.19,$269.99*,video_lookup.php?gpu=GeForce+RTX+3050+Laptop+GPU&id=4408
GeForce RTX 3050 OEM,11915,192,53.23,$223.87*,video_lookup.php?gpu=GeForce+RTX+3050+OEM&id=4569
GeForce RTX 3050 Ti Laptop GPU,10119,231,NA,NA,video_lookup.php?gpu=GeForce+RTX+3050+Ti+Laptop+GPU&id=4393
GeForce RTX 3060 12GB,16864,96,51.11,$329.99,video_lookup.php?gpu=GeForce+RTX+3060+12GB&id=4345
GeForce RTX 3060 8GB,15313,124,NA,NA,video_lookup.php?gpu=GeForce+RTX+3060+8GB&id=4966
GeForce RTX 3060 Laptop GPU,13264,161,42.79,$309.99*,video_lookup.php?gpu=GeForce+RTX+3060+Laptop+GPU&id=4342
GeForce RTX 3060 Ti,20395,61,40.75,$500.47*,video_lookup.php?gpu=GeForce+RTX+3060+Ti&id=4318
GeForce RTX 3070,22251,53,30.17,$737.61,video_lookup.php?gpu=GeForce+RTX+3070&id=4283
GeForce RTX 3070 Laptop GPU,15373,123,NA,NA,video_lookup.php?gpu=GeForce+RTX+3070+Laptop+GPU&id=4331
GeForce RTX 3070 Ti,23421,43,39.29,$596.20,video_lookup.php?gpu=GeForce+RTX+3070+Ti&id=4413
GeForce RTX 3070 Ti Laptop GPU,17783,85,NA,NA,video_lookup.php?gpu=GeForce+RTX+3070+Ti+Laptop+GPU&id=4497
GeForce RTX 3080,25146,36,25.65,$980.46,video_lookup.php?gpu=GeForce+RTX+3080&id=4282
GeForce RTX 3080 12GB,26575,34,NA,NA,video_lookup.php?gpu=GeForce+RTX+3080+12GB&id=4601
GeForce RTX 3080 Laptop GPU,16400,103,NA,NA,video_lookup.php?gpu=GeForce+RTX+3080+Laptop+GPU&id=4332
GeForce RTX 3080 Ti,26940,31,16.88,"$1,595.81",video_lookup.php?gpu=GeForce+RTX+3080+Ti&id=4409
GeForce RTX 3080 Ti Laptop GPU,19465,76,NA,NA,video_lookup.php?gpu=GeForce+RTX+3080+Ti+Laptop+GPU&id=4491
GeForce RTX 3090,26671,33,14.05,"$1,898.35",video_lookup.php?gpu=GeForce+RTX+3090&id=4284
GeForce RTX 3090 Ti,29498,13,14.82,"$1,990.00*",video_lookup.php?gpu=GeForce+RTX+3090+Ti&id=4524
GeForce RTX 4050 Laptop GPU,14434,139,NA,NA,video_lookup.php?gpu=GeForce+RTX+4050+Laptop+GPU&id=4763
GeForce RTX 4060,19730,69,52.62,$374.99,video_lookup.php?gpu=GeForce+RTX+4060&id=4850
GeForce RTX 4060 Laptop GPU,17586,87,NA,NA,video_lookup.php?gpu=GeForce+RTX+4060+Laptop+GPU&id=4752
GeForce RTX 4060 Ti,22729,47,49.41,$459.99*,video_lookup.php?gpu=GeForce+RTX+4060+Ti&id=4827
GeForce RTX 4060 Ti 16GB,22757,46,50.57,$449.99*,video_lookup.php?gpu=GeForce+RTX+4060+Ti+16GB&id=4898
GeForce RTX 4070,26963,30,45.70,$589.99*,video_lookup.php?gpu=GeForce+RTX+4070&id=4795
GeForce RTX 4070 Laptop GPU,19562,73,NA,NA,video_lookup.php?gpu=GeForce+RTX+4070+Laptop+GPU&id=4756
GeForce RTX 4070 SUPER,29972,12,49.14,$609.99*,video_lookup.php?gpu=GeForce+RTX+4070+SUPER&id=4973
GeForce RTX 4070 Ti,31653,10,35.97,$879.99*,video_lookup.php?gpu=GeForce+RTX+4070+Ti&id=4699
GeForce RTX 4070 Ti SUPER,31730,9,18.20,"$1,743.45*",video_lookup.php?gpu=GeForce+RTX+4070+Ti+SUPER&id=4980
GeForce RTX 4080,34516,5,23.04,"$1,498.07*",video_lookup.php?gpu=GeForce+RTX+4080&id=4622
GeForce RTX 4080 Laptop GPU,24965,38,NA,NA,video_lookup.php?gpu=GeForce+RTX+4080+Laptop+GPU&id=4736
GeForce RTX 4080 SUPER,34308,6,31.19,"$1,099.99*",video_lookup.php?gpu=GeForce+RTX+4080+SUPER&id=4984
GeForce RTX 4090,38302,3,17.78,"$2,153.94*",video_lookup.php?gpu=GeForce+RTX+4090&id=4606
GeForce RTX 4090 D,29203,15,NA,NA,video_lookup.php?gpu=GeForce+RTX+4090+D&id=5012
GeForce RTX 4090 Laptop GPU,27416,27,NA,NA,video_lookup.php?gpu=GeForce+RTX+4090+Laptop+GPU&id=4737
GeForce RTX 5060 Ti,28409,23,NA,NA,video_lookup.php?gpu=GeForce+RTX+5060+Ti&id=6160
GeForce RTX 5070,28722,20,41.03,$699.99,video_lookup.php?gpu=GeForce+RTX+5070&id=5940
GeForce RTX 5070 Ti,32828,7,33.84,$969.99,video_lookup.php?gpu=GeForce+RTX+5070+Ti&id=5878
GeForce RTX 5080,36108,4,23.45,"$1,539.99",video_lookup.php?gpu=GeForce+RTX+5080&id=5721
GeForce RTX 5080 Laptop GPU,29172,16,NA,NA,video_lookup.php?gpu=GeForce+RTX+5080+Laptop+GPU&id=6099
GeForce RTX 5090,40283,2,NA,NA,video_lookup.php?gpu=GeForce+RTX+5090&id=5725
GeForce RTX 5090 D,42572,1,NA,NA,video_lookup.php?gpu=GeForce+RTX+5090+D&id=5898
GeForce RTX 5090 Laptop GPU,31796,8,NA,NA,video_lookup.php?gpu=GeForce+RTX+5090+Laptop+GPU&id=5754
GeForce2 Go,4,2600,NA,NA,video_lookup.php?gpu=GeForce2+Go&id=1467
GeForce2 GTS/GeForce2 Pro,3,2605,NA,NA,video_lookup.php?gpu=GeForce2+GTS%2FGeForce2+Pro&id=1470
GeForce2 Integrated GPU,4,2595,NA,NA,video_lookup.php?gpu=GeForce2+Integrated+GPU&id=1471
GeForce2 MX,2,2643,NA,NA,video_lookup.php?gpu=GeForce2+MX&id=1472
GeForce2 MX 100/200,3,2629,NA,NA,video_lookup.php?gpu=GeForce2+MX+100%2F200&id=1473
GeForce2 MX with DVI-D and TV-out,4,2579,NA,NA,video_lookup.php?gpu=GeForce2+MX+with+DVI-D+and+TV-out&id=1477
GeForce2 MX with TV Out,2,2651,NA,NA,video_lookup.php?gpu=GeForce2+MX+with+TV+Out&id=191
GeForce2 MX/MX 400,3,2607,NA,NA,video_lookup.php?gpu=GeForce2+MX%2FMX+400&id=1479
GeForce2 Ti,4,2587,NA,NA,video_lookup.php?gpu=GeForce2+Ti&id=1480
GeForce2 Ultra,6,2546,NA,NA,video_lookup.php?gpu=GeForce2+Ultra&id=1481
GeForce3,4,2576,NA,NA,video_lookup.php?gpu=GeForce3&id=1482
GeForce3 Ti 200,4,2602,NA,NA,video_lookup.php?gpu=GeForce3+Ti+200&id=1483
GeForce3 Ti 500,2,2653,NA,NA,video_lookup.php?gpu=GeForce3+Ti+500&id=1485
GeForce4 420 Go,3,2626,NA,NA,video_lookup.php?gpu=GeForce4+420+Go&id=713
GeForce4 420 Go 32M,5,2566,NA,NA,video_lookup.php?gpu=GeForce4+420+Go+32M&id=1486
GeForce4 4200 Go,3,2606,NA,NA,video_lookup.php?gpu=GeForce4+4200+Go&id=1487
GeForce4 440,4,2573,NA,NA,video_lookup.php?gpu=GeForce4+440&id=3154
GeForce4 440 Go,3,2613,NA,NA,video_lookup.php?gpu=GeForce4+440+Go&id=1488
GeForce4 440 Go 64M,5,2552,NA,NA,video_lookup.php?gpu=GeForce4+440+Go+64M&id=1489
GeForce4 448 Go,5,2563,NA,NA,video_lookup.php?gpu=GeForce4+448+Go&id=1490
GeForce4 MX 4000,4,2593,NA,NA,video_lookup.php?gpu=GeForce4+MX+4000&id=1492
GeForce4 MX 420,4,2580,NA,NA,video_lookup.php?gpu=GeForce4+MX+420&id=1493
GeForce4 MX 440,4,2590,NA,NA,video_lookup.php?gpu=GeForce4+MX+440&id=1494
GeForce4 MX 440 with AGP8X,4,2577,NA,NA,video_lookup.php?gpu=GeForce4+MX+440+with+AGP8X&id=1496
GeForce4 MX 440SE,4,2589,NA,NA,video_lookup.php?gpu=GeForce4+MX+440SE&id=1497
GeForce4 MX 460,4,2599,NA,NA,video_lookup.php?gpu=GeForce4+MX+460&id=1499
GeForce4 MX Integrated GPU,6,2544,NA,NA,video_lookup.php?gpu=GeForce4+MX+Integrated+GPU&id=1500
GeForce4 Ti 4200,5,2562,NA,NA,video_lookup.php?gpu=GeForce4+Ti+4200&id=1502
GeForce4 Ti 4400,7,2537,NA,NA,video_lookup.php?gpu=GeForce4+Ti+4400&id=1505
GeForce4 Ti 4600,5,2564,0.10,$53.99*,video_lookup.php?gpu=GeForce4+Ti+4600&id=1506
GeForce4 Ti 4800,5,2554,NA,NA,video_lookup.php?gpu=GeForce4+Ti+4800&id=1507
GeForce4 Ti 4800 SE,6,2540,NA,NA,video_lookup.php?gpu=GeForce4+Ti+4800+SE&id=1508
GeForce9400M,105,2198,NA,NA,video_lookup.php?gpu=GeForce9400M&id=1509
GF117,554,1640,NA,NA,video_lookup.php?gpu=GF117&id=2931
Glenfly Arise-GT-10C0,1007,1214,NA,NA,video_lookup.php?gpu=Glenfly+Arise-GT-10C0&id=5077
GRID GTX P40-6,4340,510,NA,NA,video_lookup.php?gpu=GRID+GTX+P40-6&id=4327
GRID K1,650,1511,1.65,$395.00*,video_lookup.php?gpu=GRID+K1&id=2617
GRID K120Q,293,1905,NA,NA,video_lookup.php?gpu=GRID+K120Q&id=3384
GRID K140Q,727,1433,NA,NA,video_lookup.php?gpu=GRID+K140Q&id=2911
GRID K160Q,628,1541,NA,NA,video_lookup.php?gpu=GRID+K160Q&id=3458
GRID K180Q,533,1670,NA,NA,video_lookup.php?gpu=GRID+K180Q&id=3194
GRID K2,2736,675,2.05,"$1,331.97*",video_lookup.php?gpu=GRID+K2&id=2616
GRID K220Q,912,1280,NA,NA,video_lookup.php?gpu=GRID+K220Q&id=3140
GRID K240Q,2541,708,NA,NA,video_lookup.php?gpu=GRID+K240Q&id=2951
GRID K260Q,2949,647,NA,NA,video_lookup.php?gpu=GRID+K260Q&id=3143
GRID K280Q,2839,657,NA,NA,video_lookup.php?gpu=GRID+K280Q&id=3142
GRID K520,3516,577,23.44,$149.99*,video_lookup.php?gpu=GRID+K520&id=2742
GRID M10-0B,870,1303,NA,NA,video_lookup.php?gpu=GRID+M10-0B&id=5002
GRID M10-0Q,795,1369,NA,NA,video_lookup.php?gpu=GRID+M10-0Q&id=3795
GRID M10-1B,1493,1030,NA,NA,video_lookup.php?gpu=GRID+M10-1B&id=3766
GRID M10-1Q,2384,737,NA,NA,video_lookup.php?gpu=GRID+M10-1Q&id=3800
GRID M10-2B,2363,742,NA,NA,video_lookup.php?gpu=GRID+M10-2B&id=4160
GRID M10-2Q,2691,684,NA,NA,video_lookup.php?gpu=GRID+M10-2Q&id=4197
GRID M10-4Q,2976,644,NA,NA,video_lookup.php?gpu=GRID+M10-4Q&id=3964
GRID M10-8Q,2068,824,NA,NA,video_lookup.php?gpu=GRID+M10-8Q&id=3934
GRID M6-0B,911,1281,NA,NA,video_lookup.php?gpu=GRID+M6-0B&id=3527
GRID M6-1Q,2069,823,NA,NA,video_lookup.php?gpu=GRID+M6-1Q&id=4064
GRID M6-8Q,3568,573,NA,NA,video_lookup.php?gpu=GRID+M6-8Q&id=3867
GRID M60-0B,1838,901,NA,NA,video_lookup.php?gpu=GRID+M60-0B&id=3792
GRID M60-0Q,827,1341,NA,NA,video_lookup.php?gpu=GRID+M60-0Q&id=3927
GRID M60-1B,4456,501,NA,NA,video_lookup.php?gpu=GRID+M60-1B&id=3511
GRID M60-1Q,3694,555,NA,NA,video_lookup.php?gpu=GRID+M60-1Q&id=3749
GRID M60-2Q,5203,430,NA,NA,video_lookup.php?gpu=GRID+M60-2Q&id=3737
GRID M60-4Q,3831,543,NA,NA,video_lookup.php?gpu=GRID+M60-4Q&id=3483
GRID M60-8A,5523,404,NA,NA,video_lookup.php?gpu=GRID+M60-8A&id=4171
GRID M60-8Q,3883,536,NA,NA,video_lookup.php?gpu=GRID+M60-8Q&id=3716
GRID P100-16Q,5944,374,NA,NA,video_lookup.php?gpu=GRID+P100-16Q&id=3966
GRID P100-1B,2223,782,NA,NA,video_lookup.php?gpu=GRID+P100-1B&id=3968
GRID P100-8Q,3267,605,NA,NA,video_lookup.php?gpu=GRID+P100-8Q&id=4178
GRID P4-1B,2151,796,NA,NA,video_lookup.php?gpu=GRID+P4-1B&id=5009
GRID P4-2Q,433,1787,NA,NA,video_lookup.php?gpu=GRID+P4-2Q&id=3916
GRID P4-4Q,6234,356,NA,NA,video_lookup.php?gpu=GRID+P4-4Q&id=5004
GRID P4-8A,3206,615,NA,NA,video_lookup.php?gpu=GRID+P4-8A&id=4986
GRID P4-8Q,5355,415,NA,NA,video_lookup.php?gpu=GRID+P4-8Q&id=4788
GRID P40-12Q,8053,291,NA,NA,video_lookup.php?gpu=GRID+P40-12Q&id=4642
GRID P40-24Q,8719,271,NA,NA,video_lookup.php?gpu=GRID+P40-24Q&id=3993
GRID P40-2B,9842,235,NA,NA,video_lookup.php?gpu=GRID+P40-2B&id=3951
GRID P40-2B4,8160,286,NA,NA,video_lookup.php?gpu=GRID+P40-2B4&id=4848
GRID P40-2Q,4130,522,NA,NA,video_lookup.php?gpu=GRID+P40-2Q&id=4026
GRID P40-3Q,681,1475,NA,NA,video_lookup.php?gpu=GRID+P40-3Q&id=4079
GRID P40-4Q,5145,439,NA,NA,video_lookup.php?gpu=GRID+P40-4Q&id=4080
GRID P40-8Q,7432,318,NA,NA,video_lookup.php?gpu=GRID+P40-8Q&id=4834
GRID P6-2Q,3925,534,NA,NA,video_lookup.php?gpu=GRID+P6-2Q&id=3983
GRID P6-4Q,4429,505,NA,NA,video_lookup.php?gpu=GRID+P6-4Q&id=3913
GRID RTX6000-1B,8473,277,NA,NA,video_lookup.php?gpu=GRID+RTX6000-1B&id=4855
GRID RTX6000-6Q,21986,56,NA,NA,video_lookup.php?gpu=GRID+RTX6000-6Q&id=5081
GRID RTX6000-8Q,4514,491,NA,NA,video_lookup.php?gpu=GRID+RTX6000-8Q&id=6164
GRID RTX6000P-6Q,4777,468,NA,NA,video_lookup.php?gpu=GRID+RTX6000P-6Q&id=4425
GRID T4-16Q,4910,460,NA,NA,video_lookup.php?gpu=GRID+T4-16Q&id=4891
GRID T4-1Q,3302,601,NA,NA,video_lookup.php?gpu=GRID+T4-1Q&id=4261
GRID T4-2B,2785,667,NA,NA,video_lookup.php?gpu=GRID+T4-2B&id=4516
GRID T4-2Q,3765,549,NA,NA,video_lookup.php?gpu=GRID+T4-2Q&id=4370
GRID T4-4Q,3340,595,NA,NA,video_lookup.php?gpu=GRID+T4-4Q&id=4340
GRID T4-8Q,5565,399,NA,NA,video_lookup.php?gpu=GRID+T4-8Q&id=4196
GRID V100-16Q,1271,1098,NA,NA,video_lookup.php?gpu=GRID+V100-16Q&id=6141
GRID V100-8Q,16,2502,NA,NA,video_lookup.php?gpu=GRID+V100-8Q&id=3936
GRID V100D-8Q,4155,520,NA,NA,video_lookup.php?gpu=GRID+V100D-8Q&id=4132
GT 430,223,1979,1.56,$142.88*,video_lookup.php?gpu=GT+430&id=2495
Horizon Indirect Display Driver,84,2258,NA,NA,video_lookup.php?gpu=Horizon+Indirect+Display+Driver&id=5784
IncrediblE HD,389,1821,NA,NA,video_lookup.php?gpu=IncrediblE+HD&id=3480
IncrediblE HD 4000,517,1691,NA,NA,video_lookup.php?gpu=IncrediblE+HD+4000&id=3655
IncrediblE HD 4600,749,1410,NA,NA,video_lookup.php?gpu=IncrediblE+HD+4600&id=4017
Intel - Express Chipset G41,56,2341,NA,NA,video_lookup.php?gpu=Intel+-+Express+Chipset+G41&id=908
Intel - Express Chipset Q45/Q43,57,2336,NA,NA,video_lookup.php?gpu=Intel+-+Express+Chipset+Q45%2FQ43&id=909
Intel 2nd Generation SandyBridge HD,169,2051,NA,NA,video_lookup.php?gpu=Intel+2nd+Generation+SandyBridge+HD&id=3748
Intel 2nd Generation SandyBridge HD 3000,205,2006,NA,NA,video_lookup.php?gpu=Intel+2nd+Generation+SandyBridge+HD+3000&id=3583
Intel 4th Generation Haswell HD,419,1798,NA,NA,video_lookup.php?gpu=Intel+4th+Generation+Haswell+HD&id=3730
Intel 82845G Controller,2,2660,NA,NA,video_lookup.php?gpu=Intel+82845G+Controller&id=915
Intel 82845G/GL Controller,2,2648,NA,NA,video_lookup.php?gpu=Intel+82845G%2FGL+Controller&id=916
Intel 82845G/GL/GE/PE/GV Controller,2,2640,NA,NA,video_lookup.php?gpu=Intel+82845G%2FGL%2FGE%2FPE%2FGV+Controller&id=917
Intel 82852/82855 GM/GME Controller,1,2672,NA,NA,video_lookup.php?gpu=Intel+82852%2F82855+GM%2FGME+Controller&id=764
Intel 82865G Controller,4,2584,NA,NA,video_lookup.php?gpu=Intel+82865G+Controller&id=920
Intel 82915G Express,5,2558,NA,NA,video_lookup.php?gpu=Intel+82915G+Express&id=765
Intel 82915G/915GV/910GL,3,2614,NA,NA,video_lookup.php?gpu=Intel+82915G%2F915GV%2F910GL&id=4185
Intel 82915G/GV/910GL Advanced v3.5,2,2647,NA,NA,video_lookup.php?gpu=Intel+82915G%2FGV%2F910GL+Advanced+v3.5&id=922
Intel 82915G/GV/910GL Express,3,2635,NA,NA,video_lookup.php?gpu=Intel+82915G%2FGV%2F910GL+Express&id=923
Intel 82945G Express,10,2516,NA,NA,video_lookup.php?gpu=Intel+82945G+Express&id=766
Intel 82945G Express-Chipsatzfamilie,8,2529,NA,NA,video_lookup.php?gpu=Intel+82945G+Express-Chipsatzfamilie&id=3510
Intel 865 Embedded Controller,3,2615,NA,NA,video_lookup.php?gpu=Intel+865+Embedded+Controller&id=770
"Intel 915G,910G Express",4,2604,NA,NA,video_lookup.php?gpu=Intel+915G%2C910G+Express&id=3185
Intel 915G/915GV/910GL Embedded Controller Functio,4,2585,NA,NA,video_lookup.php?gpu=Intel+915G%2F915GV%2F910GL+Embedded+Controller+Functio&id=3523
Intel 945G Embedded Chipset Function 0,4,2592,NA,NA,video_lookup.php?gpu=Intel+945G+Embedded+Chipset+Function+0&id=3594
Intel 946GZ Embedded Chipset,3,2630,NA,NA,video_lookup.php?gpu=Intel+946GZ+Embedded+Chipset&id=3750
Intel 946GZ Express,2,2662,NA,NA,video_lookup.php?gpu=Intel+946GZ+Express&id=928
Intel Arc,5469,408,16.27,$336.24*,video_lookup.php?gpu=Intel+Arc&id=4955
Intel Arc 130T GPU,6127,367,NA,NA,video_lookup.php?gpu=Intel+Arc+130T+GPU&id=5871
Intel Arc 130V GPU,4576,486,NA,NA,video_lookup.php?gpu=Intel+Arc+130V+GPU&id=5185
Intel Arc 140T,5553,401,NA,NA,video_lookup.php?gpu=Intel+Arc+140T&id=5222
Intel Arc 140T GPU,6829,335,NA,NA,video_lookup.php?gpu=Intel+Arc+140T+GPU&id=5577
Intel Arc 140V GPU,5187,433,NA,NA,video_lookup.php?gpu=Intel+Arc+140V+GPU&id=5176
Intel Arc A310,5436,412,54.37,$99.99*,video_lookup.php?gpu=Intel+Arc+A310&id=4879
Intel Arc A310 LP,4698,478,NA,NA,video_lookup.php?gpu=Intel+Arc+A310+LP&id=4983
Intel Arc A370M,5115,444,NA,NA,video_lookup.php?gpu=Intel+Arc+A370M&id=4748
Intel Arc A380,6227,358,45.92,$135.62*,video_lookup.php?gpu=Intel+Arc+A380&id=4568
Intel Arc A530M,7395,319,NA,NA,video_lookup.php?gpu=Intel+Arc+A530M&id=4981
Intel Arc A580,11881,196,66.01,$179.99*,video_lookup.php?gpu=Intel+Arc+A580&id=4940
Intel Arc A730M,9808,236,NA,NA,video_lookup.php?gpu=Intel+Arc+A730M&id=4928
Intel Arc A750,12347,184,61.74,$199.99*,video_lookup.php?gpu=Intel+Arc+A750&id=4612
Intel Arc A770,13178,162,41.18,$319.99*,video_lookup.php?gpu=Intel+Arc+A770&id=4605
Intel Arc A770M,11940,191,NA,NA,video_lookup.php?gpu=Intel+Arc+A770M&id=4620
Intel Arc B570,13843,146,NA,NA,video_lookup.php?gpu=Intel+Arc+B570&id=5652
Intel Arc B580,15664,113,62.91,$249.00*,video_lookup.php?gpu=Intel+Arc+B580&id=5306
Intel Arc Pro,5648,390,NA,NA,video_lookup.php?gpu=Intel+Arc+Pro&id=5125
Intel Arc Pro A40/A50,5222,428,NA,NA,video_lookup.php?gpu=Intel+Arc+Pro+A40%2FA50&id=4905
Intel Arc Pro A60,8993,264,NA,NA,video_lookup.php?gpu=Intel+Arc+Pro+A60&id=4911
Intel B43 Express Chipset,138,2103,NA,NA,video_lookup.php?gpu=Intel+B43+Express+Chipset&id=931
Intel Coffee Lake UHD,1158,1147,NA,NA,video_lookup.php?gpu=Intel+Coffee+Lake+UHD&id=3849
Intel Extreme Controller,1,2663,NA,NA,video_lookup.php?gpu=Intel+Extreme+Controller&id=933
Intel G33/G31 Express,40,2396,NA,NA,video_lookup.php?gpu=Intel+G33%2FG31+Express&id=782
Intel G35 Express,2097,815,NA,NA,video_lookup.php?gpu=Intel+G35+Express&id=938
Intel G41 Express Chipset,138,2102,NA,NA,video_lookup.php?gpu=Intel+G41+Express+Chipset&id=940
Intel G41 Express-Chipsatz,57,2338,NA,NA,video_lookup.php?gpu=Intel+G41+Express-Chipsatz&id=943
Intel G45/G43 Express Chipset,136,2108,NA,NA,video_lookup.php?gpu=Intel+G45%2FG43+Express+Chipset&id=944
Intel G45/G43/G41 Express Chipset,67,2308,NA,NA,video_lookup.php?gpu=Intel+G45%2FG43%2FG41+Express+Chipset&id=946
Intel G965 Express,222,1980,NA,NA,video_lookup.php?gpu=Intel+G965+Express&id=948
Intel GMA 3150 Express,2,2654,NA,NA,video_lookup.php?gpu=Intel+GMA+3150+Express&id=950
Intel Graphics,3145,622,NA,NA,video_lookup.php?gpu=Intel+Graphics&id=5074
Intel Haswell HD - GT1,123,2144,NA,NA,video_lookup.php?gpu=Intel+Haswell+HD+-+GT1&id=2846
Intel Haswell HD - GT2,139,2100,NA,NA,video_lookup.php?gpu=Intel+Haswell+HD+-+GT2&id=2807
Intel HD 2000,213,1995,NA,NA,video_lookup.php?gpu=Intel+HD+2000&id=3264
Intel HD 3000,260,1941,0.28,$945.00*,video_lookup.php?gpu=Intel+HD+3000&id=26
Intel HD 4000,346,1859,0.22,"$1,592.95*",video_lookup.php?gpu=Intel+HD+4000&id=2
Intel HD 4400,524,1682,NA,NA,video_lookup.php?gpu=Intel+HD+4400&id=2643
Intel HD 4600,629,1539,NA,NA,video_lookup.php?gpu=Intel+HD+4600&id=2451
Intel HD 4600 manual-gen9_2015-134121,619,1551,NA,NA,video_lookup.php?gpu=Intel+HD+4600+manual-gen9_2015-134121&id=5114
Intel HD 500,299,1903,NA,NA,video_lookup.php?gpu=Intel+HD+500&id=4145
Intel HD 5000,586,1596,0.94,$625.00*,video_lookup.php?gpu=Intel+HD+5000&id=2552
Intel HD 505,360,1850,NA,NA,video_lookup.php?gpu=Intel+HD+505&id=4143
Intel HD 510,622,1547,NA,NA,video_lookup.php?gpu=Intel+HD+510&id=3347
Intel HD 515,637,1527,NA,NA,video_lookup.php?gpu=Intel+HD+515&id=3341
Intel HD 520,864,1309,NA,NA,video_lookup.php?gpu=Intel+HD+520&id=3255
Intel HD 5200,830,1340,NA,NA,video_lookup.php?gpu=Intel+HD+5200&id=2498
Intel HD 530,994,1227,NA,NA,video_lookup.php?gpu=Intel+HD+530&id=3281
Intel HD 5300,402,1812,NA,NA,video_lookup.php?gpu=Intel+HD+5300&id=2921
Intel HD 5500,593,1585,NA,NA,video_lookup.php?gpu=Intel+HD+5500&id=2908
Intel HD 5600,1868,891,NA,NA,video_lookup.php?gpu=Intel+HD+5600&id=3160
Intel HD 6000,874,1301,NA,NA,video_lookup.php?gpu=Intel+HD+6000&id=3120
