appid
0000
100
1002
12370
12380
2430
3420
3460
4100
2130
3970
8230
8210
8220
8240
8250
2720
7500
4230
4290
3510
12140
12530
13000
13700
8270
8280
8290
8300
16500
16110
15920
15910
15150
15800
12580
12570
12600
12540
12590
19500
17340
19840
21300
17180
19810
15350
20200
10540
20700
20710
21500
7780
18430
18450
18460
3570
19000
16620
3580
26300
3530
32000
29720
16200
31300
12440
12450
9870
34500
32710
32740
12650
12660
12670
33700
33710
33720
8640
8690
44630
3610
36910
36900
37230
37280
37290
38440
37960
37970
37980
37990
38000
38010
38020
37420
38220
33550
667720
34000
39300
39330
39360
39370
39310
39320
39350
39380
37300
32410
24860
35500
32200
25500
10190
27300
3500
3520
38490
34630
34640
41400
37500
29120
4320
40200
40210
19020
12840
38070
38080
38090
38100
38110
39900
38140
38150
38160
27810
33760
7850
38170
38180
38190
24410
37310
37320
37330
37340
37360
37370
37380
37390
49000
45410
23140
23150
7340
50910
50920
50930
50940
50960
50970
50980
51020
51030
46740
46720
19030
46420
46430
12170
12180
12230
12240
12250
41010
47110
47120
47130
48150
27330
1230
1280
24640
24650
24660
22000
46600
42920
65700
34220
9960
57600
42710
45750
8970
2850
201310
72410
41660
41730
90400
65720
72300
65200
11900
23120
37800
6600
44100
44200
31410
36700
46000
50820
38900
58400
1510
58300
35600
70500
80300
1523
41210
2760
90800
33390
65070
4540
4550
42000
19080
92400
92700
9990
47920
99120
91810
9970
97100
95500
24460
104100
104600
41680
24470
98510
102400
42160
206980
21110
21120
105700
44620
44650
44660
44670
44680
107430
25620
96200
49320
236830
33420
57800
11250
28050
57400
109700
71270
20840
58230
106000
200410
42690
110610
60350
58510
201280
111300
116120
39160
110400
92600
200980
200990
201000
201010
200050
73060
200190
202410
10240
61310
110630
6100
200940
203730
204510
204390
19320
8650
202530
104020
4300
104700
206410
202390
202370
207650
207710
204440
96400
200630
204140
73230
108100
209610
209750
110600
216370
225760
209360
208640
209120
6870
210150
98300
205350
205530
34440
34450
34460
206020
206040
206060
208860
211800
46700
46710
46760
46830
46840
210170
11420
12800
12750
205590
91310
211970
212410
210390
214310
111000
111010
2545
2550
46320
46380
31870
31980
42200
215450
99410
104000
216390
200350
204220
214100
8350
8360
8370
8380
8310
8320
218040
27400
216930
211070
219070
217060
65080
215770
207670
216670
208710
215390
27800
18600
204580
207890
208460
208630
208620
23440
207210
221560
209100
10120
214630
214640
11170
218020
223000
3220
214210
218860
33660
220420
33540
57730
33530
224360
206230
218660
23300
212110
202990
212910
44600
214230
228020
18480
7840
46350
224420
220960
212700
71250
105400
100400
225140
50650
35510
205070
218130
21400
10530
227280
204080
227800
217860
46790
38200
1502
1522
2120
3302
3322
3332
3342
3352
3362
228860
231250
231890
233050
233070
233490
233710
235740
236810
237130
240240
240570
241210
241500
242380
243340
243820
248140
249970
254150
257190
258150
264930
265100
265230
267160
267890
268030
270680
271220
271230
271710
272390
273130
282270
286650
287440
288330
289740
292690
294350
298920
299330
11610
36630
55130
105430
107900
109400
109410
113900
201190
208030
211880
212160
212200
212220
212240
212370
219340
221080
224320
227240
231060
238110
263500
280620
29110
31500
33970
42190
55050
99870
107400
212840
215100
217750
218170
218350
218470
221200
221360
221790
223390
224640
226240
229100
232450
233630
235400
239660
249150
264660
264850
266070
266450
269390
271290
273550
34880
41510
41670
41810
46010
47940
55410
90530
99920
213570
218210
218450
219520
226980
231120
235340
238510
239220
241640
245550
246280
247260
257140
285540
294510
226280
218700
230760
224580
223870
10250
10260
209850
224220
9860
46850
96900
12560
33780
33750
33790
220050
227720
234370
227680
203250
230330
55020
220900
15950
15900
15960
16000
16020
16030
16040
16060
32110
32120
32140
60340
202270
22340
209340
31110
31120
31130
31220
31230
31240
31250
31260
94500
94510
94520
94530
94600
94610
238170
234350
60700
224060
18490
235720
241680
236290
2525
225220
242800
233250
243140
243180
243280
236490
242110
231020
95000
230170
234980
403200
239450
236970
244690
244950
2350
240160
240180
240200
237590
40500
239250
215550
246360
246400
225180
246720
246740
246800
246880
247310
221340
248370
47830
249610
249930
250070
96300
250200
250280
468650
250360
250540
250720
251130
251510
251650
251710
251910
252090
252210
252430
253130
253310
253470
253570
259280
259300
254000
254020
254040
254130
3370
254900
254980
208610
255030
234000
255440
223670
255480
243020
236530
204560
234060
256050
3000
256350
22140
247120
231670
42930
42940
42950
257610
257650
257770
257870
258030
258070
258090
262300
258200
258240
209390
231720
45500
247830
259320
259360
259490
259760
259830
240360
260270
260380
236890
260510
260530
260550
260710
260990
247580
259940
259960
260000
260020
260040
260060
261600
261740
261900
261940
261960
262080
262100
262510
262630
262810
262870
16700
262920
262980
263040
263120
263140
263260
263280
263380
263460
263480
263640
237760
263800
263840
263960
264020
264060
346610
264260
264340
264360
264420
264440
264460
264580
260770
265240
250240
265380
9980
265400
265670
265730
265790
265870
391920
266050
296150
266190
266250
266270
266330
266370
266550
228940
266940
266980
201040
367540
248270
265490
267730
267940
267960
46730
12310
268240
268340
268520
268830
268970
269150
269350
269430
269530
269550
269570
269590
269610
269630
269850
269990
270030
270070
270190
270330
270410
270430
270590
270810
243890
251970
257890
271550
271640
272860
267670
270750
270760
271990
272010
272300
272670
272920
12420
272990
261350
273590
273740
273760
273790
273800
273820
273830
273850
273860
273890
273940
44340
44320
201700
321040
243380
275030
275270
275310
275330
275490
275810
275830
276440
276730
276770
277510
277520
277540
277560
34800
278420
278490
278510
278530
278590
278850
279420
279460
279480
279500
279520
279560
279580
279640
279740
279920
280010
280200
280380
280440
280460
280500
280640
280890
281080
281130
281240
281260
281350
281390
281520
281560
281820
281900
316620
316630
282350
282530
