name,steam_appid,is_free,header_image,minimum_req,genres,recommendations,release_date
The Lost Village,1963040,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963040/header.jpg?t=1739784244,"['{""OS "": ""Windows 7 64 bit"", ""Processor"": ""AMD A10 7850K Intel i32000"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""Radeon R9 280 Geforce GTX 960"", ""DirectX"": ""Version 90"", ""Storage"": ""3 GB available space""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",6219,"7 Apr, 2024"
VALKYRIE ELYSIUM,1963210,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963210/header.jpg?t=1684724115,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS"": ""Windows 10  Windows 11 64bit"", ""Processor"": ""AMD Ryzen 3 1200  Intel Core i53330"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""AMD Radeon RX 560  NVIDIA GeForce GTX 960"", ""DirectX"": ""Version 12"", ""Storage"": ""25 GB available space"", ""Additional Notes"": ""1280x720 Preset Low 30 FPS VRAM 4GB required""}']","[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]",941,"11 Nov, 2022"
Yerr Out,1963360,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963360/header.jpg?t=1731982884,"['{""OS"": ""Windows 10"", ""Processor"": ""Intel Core i5 or equivalent"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""NVIDIA GeForce GTX 750 or equivalent"", ""Storage"": ""1 GB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '18', 'description': 'Sports'}, {'id': '37', 'description': 'Free To Play'}]",,"13 Apr, 2024"
No One Survived,1963370,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963370/header.jpg?t=1733802692,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS"": ""Windows 10 64 bit"", ""Processor"": ""Intel Core i52400AMD FX8320"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""NVIDIA GTX 1060 6GB"", ""DirectX"": ""Version 12"", ""Storage"": ""40 GB available space"", ""Additional Notes"": ""SSD""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]",6160,"14 Jan, 2023"
Race to Kyiv,1963480,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963480/header.jpg?t=1697722362,"['{""OS "": ""Windows 7"", ""Processor"": ""Yes"", ""Graphics"": ""Yes"", ""DirectX"": ""Version 10"", ""Network"": ""Broadband Internet connection"", ""Storage"": ""1 GB available space"", ""Sound Card"": ""Yes"", ""Additional Notes"": ""Integrated GPU Friendly""}']","[{'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Racing'}]",,"12 May, 2022"
Herald of Havoc,1963510,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963510/header.jpg?t=1727357742,"['{""OS "": ""Windows 7  Windows 10"", ""Processor"": ""25 GHz Dual Core"", ""Graphics"": ""NVIDIA GeForce GTX 1050Ti""}']","[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]",185,"25 Jun, 2023"
Cuisineer,1963570,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963570/header.jpg?t=1738065643,"['{""OS"": ""Windows 10 x64"", ""Processor"": ""Intel Core i56600K 4  3500 or equivalent  AMD Ryzen 5 2500U 4  2000 or equivalent"", ""Memory"": ""16 GB RAM"", ""Graphics"": ""GeForce GTX 960 4096 MB  Radeon RX 560X 4096 MB"", ""DirectX"": ""Version 12"", ""Storage"": ""7 GB available space"", ""Sound Card"": ""PT2001 NVIDIA High Definition Audio""}']","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}]",1559,"9 Nov, 2023"
The Lizartian,1963580,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1963580/header.jpg?t=1654297372,"['{""OS "": ""Microsoft Windows XP  Vista  7"", ""Processor"": ""14GHz processor or faster"", ""Memory"": ""1 GB RAM"", ""Graphics"": ""DirectX 8compatible graphics card with at least 32MB of video memory"", ""Storage"": ""3 GB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}]",,"27 May, 2022"
Sunline,1964000,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964000/header.jpg?t=1652701220,"['{""OS"": ""x64 Based OS"", ""Processor"": ""QuadCore 25GHz x64compatible"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""NVIDIA 960 AMD RX 470 equivalent"", ""DirectX"": ""Version 11"", ""Storage"": ""4 GB available space"", ""Additional Notes"": ""Integrated graphics not recommended""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}]",,"16 May, 2022"
Do Not Feed the Monkeys 2099,1964040,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964040/header.jpg?t=1713517374,"['{""OS "": ""Windows 8 3264 or later"", ""Processor"": ""2 GHz Dual Core CPU"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""Nvidia GeForce GT 610 1GB or equivalent"", ""DirectX"": ""Version 90c"", ""Storage"": ""2 GB available space"", ""Sound Card"": ""DirectX 90c Compatible Sound Card with Latest Drivers"", ""Additional Notes"": ""Using the Minimum Configuration we strongly recommend to use minimal settings in order to not experience low frame rates""}']","[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",860,"25 May, 2023"
Erroneous,1964140,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964140/header.jpg?t=1684002795,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS"": ""Windows 10"", ""Processor"": ""120GHz"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""Intel UHD Graphics G1 or equivalent"", ""Storage"": ""700 MB available space"", ""Additional Notes"": ""This game doesnt need that powerful of a computer""}']","[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]",,"1 Jun, 2022"
Phantom Rose 2 Sapphire,1964200,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964200/header.jpg?t=1712779391,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS"": ""Windows 10"", ""Processor"": ""2GHz 64bit"", ""Additional Notes"": ""Minimum 1280 x 720 resolution""}']","[{'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]",294,"29 Oct, 2023"
MergeCrafter,1964220,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964220/header.jpg?t=1736371635,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS "": ""Windows 7"", ""Processor"": ""Dual core 2Ghz"", ""Memory"": ""2 GB RAM"", ""Storage"": ""500 MB available space""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '37', 'description': 'Free To Play'}]",,"23 Aug, 2022"
Sexy Mystic Survivors,1964360,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964360/header.jpg?t=1739411921,"['{""OS "": ""Windows 7 or newer 64bit"", ""Processor"": ""Intel Core i36100  AMD FX8350"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""GTX 580  AMD HD 7870"", ""Storage"": ""2 GB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]",1650,"18 Nov, 2022"
My little sister: Prologue,1964380,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964380/header.jpg?t=1652430265,"['{""OS "": ""Win 7"", ""Processor"": ""Intel Pentium"", ""Memory"": ""2 GB RAM"", ""Storage"": ""1 GB available space""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]",,"13 May, 2022"
Homemade TCG,1964590,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964590/header.jpg?t=1735723644,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS "": ""Windows 7"", ""Processor"": ""20 Ghz"", ""Memory"": ""2 GB RAM"", ""Graphics"": ""1Gb Video Memory capable of OpenGL 30 support 21 with ARB extensions acceptable"", ""Storage"": ""1 GB available space""}']","[{'id': '2', 'description': 'Strategy'}]",,"15 Jul, 2022"
CUBEGRID,1964600,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964600/header.jpg?t=1743421780,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS "": ""Windows 7"", ""Processor"": ""20 GHz Processor"", ""Graphics"": ""DirectX compatible graphics"", ""Storage"": ""100 MB available space""}']","[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}, {'id': '37', 'description': 'Free To Play'}]",,"30 May, 2022"
Captcha Kills,1964800,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964800/header.jpg?t=1658082156,"['{""OS"": ""Windows 10"", ""Processor"": ""Intel Core i5 or AMD equivalent"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""NVIDIA GTX 660 or AMD Radeon HD 7950"", ""Network"": ""Broadband Internet connection"", ""Storage"": ""3 GB available space"", ""VR Support"": ""SteamVR""}']","[{'id': '37', 'description': 'Free To Play'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]",,"17 Jul, 2022"
Class Five Memorial GAME,1964970,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964970/header.jpg?t=1656642141,"['{""OS"": ""Windows 10"", ""Processor"": ""i3"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""750ti"", ""DirectX"": ""Version 12"", ""Storage"": ""5 MB available space""}']","[{'id': '4', 'description': 'Casual'}, {'id': '28', 'description': 'Simulation'}]",,"30 Jun, 2022"
Sisters_Possession2,1964980,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1964980/header.jpg?t=1696602841,"['{""OS "": ""Windows 7"", ""Processor"": ""Intel Pentium 4 20 GHz equivalent or faster processor"", ""Memory"": ""512 MB RAM"", ""Graphics"": ""1024 x 768 pixels or higher desktop resolution""}']","[{'id': '3', 'description': 'RPG'}]",,"16 May, 2022"
Sheepers,1965090,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1965090/header.jpg?t=1725004539,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS"": ""Windows 10 64bit"", ""Processor"": ""Intel core i74510U or equivalent"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""NVIDIA GeForce 840M or equivalent"", ""Storage"": ""360 MB available space""}']","[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '37', 'description': 'Free To Play'}]",,"30 Aug, 2024"
